Attribute,Gini_Coefficient,weight
PDI_DEMO,0.10924,1
IND_DEMO,0.16369,1
MAS_DEMO,0.16767,1
UAI_DEMO,0.08735,1
LTO_DEMO,0.13968,1
IVR_DEMO,0.2325,1
IR_total_DEMO,0.04736,1
IR_DEMO,0.04542,1
R_DEMO,0.038130000000000004,1
SD_DEMO,0.08574,1
AWF_DEMO,0.05563,1
DEM_DEMO,0.02708,1
LFT_DEMO,0.0368,1
ACH_DEMO,0.044989999999999995,1
APP_DEMO,0.06682,1
COMF_DEMO,0.03991,1
PDA_DEMO,0.08685,1
PDA_FUNC_DEMO,0.08746,1
PDA_DISFUNC_DEMO,0.09531,1
PDA_POZITIV_DEMO,0.03923,1
Satisfaction_DEMO,0.02623,1
Negative_experience_DEMO,0.04361,1
Trsust_Family_DEMO,0.022180000000000002,1
Trust_First_DEMO,0.08296,1
Trust_Religion_DEMO,0.10245,1
Trust_Nationality_DEMO,0.09502000000000001,1
Democracy_1_DEMO,0.05911,1
Democracy_2_DEMO,0.03058,1
Democracy_3_DEMO,0.16121,1
PDI_FD,0.09445,1
IND_FD,0.1939,1
MAS_FD,0.16205,1
UAI_FD,0.09522,1
LTO_FD,0.13376,1
IVR_FD,0.26649,1
IR_total_FD,0.0484,1
IR_FD,0.04374,1
R_FD,0.037880000000000004,1
SD_FD,0.09018,1
AWF_FD,0.058339999999999996,1
DEM_FD,0.028089999999999997,1
LFT_FD,0.03655,1
ACH_72_FD,0.045880000000000004,1
APP_72_FD,0.07297999999999999,1
COMF_72_FD,0.03877,1
PDA_TOTAL_FD,0.09458,1
PDA_FUNC_FD,0.09283,1
PDA_DISFUNC_FD,0.10730999999999999,1
PDA_POZITIV_FD,0.04238,1
Satisfaction_FD,0.02953,1
Negative_experience_FD,0.05222,1
Trust_Family_FD,0.02144,1
Trust_First_FD,0.09884,1
Trust_Religion_FD,0.11532,1
Trust_Nationality_FD,0.11189,1
Democracy_1_FD,0.058070000000000004,1
Democracy_2_FD,0.029660000000000002,1
Democracy_3_FD,0.16476,1
